ID,nspI,nspP,habitat
1248,94,10,Hab6
1249,96,10,Hab6
1250,88,7,Hab6
1251,77,3,Hab6
1252,76,2,Hab6
1253,85,6,Hab6
1254,76,3,Hab6
1255,83,5,Hab6
1256,93,8,Hab6
1257,76,2,Hab6
1258,76,4,Hab6
1259,82,5,Hab6
1260,93,9,Hab6
1261,96,9,Hab6
1262,96,9,Hab6
1263,85,7,Hab6
1264,98,10,Hab6
1265,80,5,Hab6
1266,82,6,Hab6
1267,80,3,Hab6
1268,74,3,Hab6
1269,68,0,Hab6
1270,80,5,Hab6
1271,90,9,Hab6
1272,67,0,Hab6
1273,67,1,Hab6
1274,72,2,Hab6
1275,90,8,Hab6
1276,88,7,Hab6
1277,99,10,Hab6
1278,80,5,Hab6
1279,70,1,Hab6
1280,85,6,Hab6
1281,92,8,Hab6
1282,71,1,Hab6
1283,81,4,Hab6
1284,76,2,Hab6
1285,74,1,Hab6
1286,79,4,Hab6
1287,70,1,Hab6
1288,71,2,Hab6
1289,70,1,Hab6
1290,86,7,Hab6
1291,72,3,Hab6
1292,71,1,Hab6
1293,70,1,Hab6
1294,92,9,Hab6
1295,90,8,Hab6
1296,91,8,Hab6
1297,95,10,Hab6
1298,67,1,Hab6
1299,69,1,Hab6
1300,90,8,Hab6
1301,93,8,Hab6
1302,65,0,Hab6
1303,87,8,Hab6
1304,90,7,Hab6
1305,84,6,Hab6
1306,83,5,Hab6
1307,73,2,Hab6
1308,66,0,Hab6
1309,80,5,Hab6
1310,81,5,Hab6
1311,80,4,Hab6
1312,82,5,Hab6
1313,89,7,Hab6
1314,71,1,Hab6
1315,79,4,Hab6
1316,90,8,Hab6
1317,87,8,Hab6
1318,68,2,Hab6
1319,86,4,Hab6
1320,91,9,Hab6
1321,93,9,Hab6
1322,77,3,Hab6
1323,71,1,Hab6
1324,91,7,Hab6
1325,70,1,Hab6
1326,68,0,Hab6
1327,99,10,Hab6
1328,67,0,Hab6
1329,78,3,Hab6
1330,90,9,Hab6
1331,84,6,Hab6
1332,79,3,Hab6
1333,89,7,Hab6
1334,94,8,Hab6
1335,74,3,Hab6
1336,81,5,Hab6
1337,90,7,Hab6
1338,91,6,Hab6
1339,84,6,Hab6
1340,92,10,Hab6
1341,85,4,Hab6
1342,68,1,Hab6
1343,79,5,Hab6
1344,73,2,Hab6
1345,81,5,Hab6
1346,79,4,Hab6
1347,99,10,Hab6
1348,76,4,Hab6
1349,74,2,Hab6
1350,89,6,Hab6
1351,69,1,Hab6
1352,95,10,Hab6
1353,80,5,Hab6
1354,70,2,Hab6
1355,85,6,Hab6
1356,97,10,Hab6
1357,88,7,Hab6
1358,82,4,Hab6
1359,72,3,Hab6
1360,89,8,Hab6
1361,70,1,Hab6
1362,71,2,Hab6
1363,94,9,Hab6
1364,76,3,Hab6
1365,79,4,Hab6
1366,89,8,Hab6
1367,71,2,Hab6
1368,66,0,Hab6
1369,80,4,Hab6
1370,83,5,Hab6
1371,82,4,Hab6
1372,78,3,Hab6
1373,95,9,Hab6
1374,84,5,Hab6
1375,80,5,Hab6
1376,95,10,Hab6
1377,90,8,Hab6
1378,72,2,Hab6
1379,77,3,Hab6
1380,99,10,Hab6
1381,83,6,Hab6
1382,93,8,Hab6
1383,75,4,Hab6
1384,92,8,Hab6
1385,84,5,Hab6
1386,94,9,Hab6
1387,71,2,Hab6
1388,72,3,Hab6
1389,69,1,Hab6
1390,76,2,Hab6
1391,101,10,Hab6
1392,76,3,Hab6
1393,86,7,Hab6
1394,91,8,Hab6
1395,72,1,Hab6
1396,72,2,Hab6
1397,73,3,Hab6
1398,69,1,Hab6
1399,69,1,Hab6
1400,95,10,Hab6
